id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
PS_12467,Base Profesional p/ trípodes,Base Profesional p/ trípodes,in stock,new,2800.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/F843A202-F1DB-47DD-BFEF-855C9DD5D70E.jpeg,JeiperdStore,Accesorios
PS_51445,Cargador Xiaomi Mi Band 4,Cargador Xiaomi Mi Band 4,in stock,new,1500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/11/chargerband4.jpg,JeiperdStore,Cargadores y cables
PS_48152,Ring con Diseños,Ring con Diseños,in stock,new,1000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/04/7DBD9811-782F-4D3A-8515-0EE8A73CBF35.jpeg,JeiperdStore,Accesorios
PS_37644,Cover Tablet Tab A 8.0 SM-T380/T385 (2017),Cover Tablet Tab A 8.0 SM-T380/T385 (2017),in stock,new,1700.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/06/coversmt3809.jpg,JeiperdStore,Cover y protector pantalla
PS_83762,Llavero con Cámara,Llavero con Cámara,in stock,new,4000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/3CEB3E2D-0C90-4360-851F-6417BB4D062C.jpeg,JeiperdStore,Cámaras No Visibles
PS_84924,Antena WIFI USB Exterior 1 KM,Antena WIFI USB Exterior 1 KM,in stock,new,3000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/antena-wifi-1km2.jpg,JeiperdStore,Accesorios
PS_88876,Gancho Asiento Universal p/ Tabletas,Gancho Asiento Universal p/ Tabletas,in stock,new,1750.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/47648594-AD0A-4C14-A972-620B8772FD14.jpeg,JeiperdStore,Accesorios
PS_81681,Cover iPad 2/3/4 Shockproof,Cover iPad 2/3/4 Shockproof,in stock,new,2300.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/EAD6C60F-9AB6-4E8D-B7A3-407C341D2F9B-1.jpeg,JeiperdStore,Cover y protector pantalla
PS_12325,Cover iPad 7ma/8va/9na Gen 10.2» ShockProof,Cover iPad 7ma/8va/9na Gen 10.2» ShockProof,in stock,new,2700.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/01/case7ma.jpg,JeiperdStore,Cover y protector pantalla
PS_31621,Pulsera Reloj B57,Pulsera Reloj B57,in stock,new,850.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/09/b57-strap.jpg,JeiperdStore,Variedad
PS_91427,Adaptador 3.5mm a 2.5mm,Adaptador 3.5mm a 2.5mm,in stock,new,450.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/10/adapter1.jpg,JeiperdStore,Adaptadores
PS_99615,Micrófono Aux Celulares/Tabletas + Extensión 2m,Micrófono Aux Celulares/Tabletas + Extensión 2m,in stock,new,2000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/71oh-n9QpoL._SL1500_.jpg,JeiperdStore,Accesorios
PS_27217,Tripode Flexible DS1,Tripode Flexible DS1,in stock,new,2500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/tripod3.jpg,JeiperdStore,Accesorios
PS_85336,Cover Hard Armor Apple Watch,Cover Hard Armor Apple Watch,in stock,new,2000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/caseapple1.png,JeiperdStore,Variedad
PS_21428,Correas Xiaomi Mi Band 3/4/5,Correas Xiaomi Mi Band 3/4/5,in stock,new,850.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/61T2GdiQDFL._SL1000_.jpg,JeiperdStore,Variedad
PS_67513,Pulsera Silicone Apple Watch 1/2/3/4/5,Pulsera Silicone Apple Watch 1/2/3/4/5,in stock,new,1150.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/DC41C4B9-8091-4EDA-96DE-FA9110C83359.jpeg,JeiperdStore,Variedad
PS_68959,Cover TPU Apple Watch Serie 1/2/3/4/5/6,Cover TPU Apple Watch Serie 1/2/3/4/5/6,in stock,new,750.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/rBVaHFoEXV2AIUD4AAF3YKfyX6c964.jpg,JeiperdStore,Cover y protector pantalla
PS_31555,Cámara WIFI PTZ 5x Zoom,Cámara WIFI PTZ 5x Zoom,in stock,new,4800.00 DOP,3000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/camara-icsee.png,JeiperdStore,Cámaras
PS_11188,Audifono Bluetooth JBL Tune 520BT,"Audífonos inalámbricos JBL Tune 520BT con sonido Pure Bass, Bluetooth 5.3, ecualización personalizada vía app y hasta 57 h de batería con carga rápida.",in stock,new,6800.00 DOP,5000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/12/61hOoghkbRL._AC_SL1500_.jpg,JeiperdStore,Accesorios
PS_61244,Batería Recargable USB AA/AAA,Batería Recargable USB AA/AAA,in stock,new,3000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/11/71H29n103BL._SL1394_.jpg,JeiperdStore,Variedad
PS_38463,Micrófono para Cámara Nikon / Canon Takstar SGC-600,Micrófono para Cámara Nikon / Canon Takstar SGC-600,in stock,new,4000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/11/D8432-1-8f72-8UbS__41241.1616358149.jpg,JeiperdStore,Accesorios
PS_66222,Pulsera Samsung Gear S3 Frontier,Pulsera Samsung Gear S3 Frontier,in stock,new,1450.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/710PGspDdWL._SL1500_.jpg,JeiperdStore,Variedad
PS_68573,Foto Estudio LED 16”,Foto Estudio LED 16”,in stock,new,3500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/D0273253-B98A-4A45-9B5F-C2501F4A0F72.jpeg,JeiperdStore,Accesorios
PS_56762,Bocina Bluetooth Anker SoundCore 2,Bocina Bluetooth Anker SoundCore 2,in stock,new,5000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/71sJXz-Q53L._SL1500_.jpg,JeiperdStore,Bocinas Inalámbricas
PS_54137,Repetidor WiFi Xiaomi Pro,Repetidor WiFi Xiaomi Pro,in stock,new,2300.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/Original-Xiaomi-Pro-300M-WiFi-Amplifier-WiFi-Repeater-2-4G-Wifi-.jpg,JeiperdStore,Repetidor WIFI
PS_58419,Hub USB-C HDMI 7 en 1 Macbook Pro 2016 / 2017,Hub USB-C HDMI 7 en 1 Macbook Pro 2016 / 2017,in stock,new,3000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/81mZpyXSBIL._SL1500_.jpg,JeiperdStore,Accesorios
PS_65373,Cable Múltiple USB-C / Micro USB / iPhone,Cable Múltiple USB-C / Micro USB / iPhone,in stock,new,1500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/71siw1PC4DL._SL1200_.jpg,JeiperdStore,Accesorios
PS_11765,Control de Juego PS4,Control de Juego PS4,in stock,new,3300.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/s-l1200.jpg,JeiperdStore,Control de Juegos
PS_53239,Mochila Inteligente V3 25L,Mochila Inteligente V3 25L,in stock,new,3500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/71oL0OPEvzL._AC_SL1000_.jpg,JeiperdStore,Variedad
PS_29187,Adaptador iPhone a Lightning,Adaptador iPhone a Lightning,in stock,new,1800.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2018/10/AC226177-4F62-4245-9AF0-E62E5E455234-1.jpeg,JeiperdStore,Adaptadores
